order px wavelength class PCC r_m r_c med_intensity
13 2269 5069.13 w 0.266 0.01754 -0.00614 -0.0114
13 2270 5069.15 w 0.008 0.00049 -0.00904 -0.0092
13 2476 5072.79 w 0.122 0.00776 -0.00522 -0.0075
13 2477 5072.81 w 0.271 0.01432 -0.00522 -0.0095
13 2478 5072.83 w 0.611 0.04243 -0.00395 -0.0166
13 2479 5072.85 w 0.818 0.10070 0.00082 -0.0293
13 2480 5072.87 w 0.861 0.12330 -0.00628 -0.0432
13 2481 5072.88 w 0.910 0.13680 -0.00544 -0.0463
13 2482 5072.90 w 0.841 0.10542 -0.00214 -0.0337
13 2483 5072.92 w 0.470 0.03481 -0.00914 -0.0196
13 2484 5072.94 w 0.510 0.03826 -0.00165 -0.0131
13 2485 5072.95 w 0.290 0.01684 -0.00433 -0.0094
13 2486 5072.97 w 0.327 0.02215 -0.00187 -0.0085
13 2487 5072.99 w 0.305 0.01606 -0.00119 -0.0060
13 2488 5073.01 w 0.279 0.01696 -0.00037 -0.0054
13 2489 5073.02 w -0.005 -0.00041 -0.00647 -0.0063
13 2647 5075.80 w 0.192 0.01543 -0.00297 -0.0076
13 2648 5075.82 w 0.370 0.03199 -0.00136 -0.0109
13 2649 5075.83 w 0.527 0.04179 -0.00169 -0.0142
13 2650 5075.85 w 0.419 0.03966 -0.00378 -0.0156
13 2651 5075.87 w 0.449 0.03837 0.00146 -0.0100
13 2652 5075.89 w -0.040 -0.00337 -0.00681 -0.0058
13 2671 5076.22 w -0.071 -0.00510 -0.01049 -0.0090
13 2672 5076.24 w 0.455 0.03682 -0.00251 -0.0135
13 2673 5076.25 w 0.606 0.05513 0.00067 -0.0158
13 2674 5076.27 w 0.362 0.02450 -0.00535 -0.0127
13 2675 5076.29 w 0.503 0.03551 0.00243 -0.0082
13 2676 5076.31 w 0.378 0.02409 -0.00113 -0.0083
13 2677 5076.32 w -0.082 -0.00445 -0.00789 -0.0066
13 2679 5076.36 w 0.098 0.00722 -0.00235 -0.0045
13 2680 5076.38 w 0.277 0.01871 0.00059 -0.0050
13 2681 5076.39 w 0.235 0.01959 -0.00297 -0.0088
13 2682 5076.41 w 0.501 0.03638 -0.00106 -0.0119
13 2683 5076.43 w 0.685 0.07051 -0.00206 -0.0231
13 2684 5076.45 w 0.811 0.10123 -0.00444 -0.0347
13 2685 5076.46 w 0.842 0.10581 -0.00600 -0.0376
13 2686 5076.48 w 0.747 0.06211 -0.00846 -0.0270
13 2687 5076.50 w 0.145 0.00987 -0.01134 -0.0143
13 2739 5077.41 w 0.234 0.01630 -0.00589 -0.0108
13 2740 5077.42 w 0.496 0.04159 -0.00602 -0.0184
13 2741 5077.44 w 0.611 0.04879 -0.00470 -0.0193
13 2742 5077.46 w 0.428 0.04220 -0.00322 -0.0158
13 2743 5077.48 w 0.210 0.02199 -0.00299 -0.0096
13 2835 5079.08 w 0.055 0.00488 -0.00943 -0.0109
13 2836 5079.10 w 0.380 0.03368 -0.00488 -0.0150
13 2837 5079.11 w 0.671 0.06690 -0.00687 -0.0269
13 2838 5079.13 w 0.741 0.08390 -0.01062 -0.0357
13 2839 5079.15 w 0.708 0.07179 -0.00930 -0.0308
13 2840 5079.16 w 0.493 0.03827 -0.01114 -0.0226
13 2841 5079.18 w 0.329 0.02979 -0.00327 -0.0122
13 2842 5079.20 w 0.200 0.01384 -0.00318 -0.0073
13 3106 5083.76 w 0.197 0.02263 -0.00449 -0.0113
13 3107 5083.78 w 0.305 0.02366 -0.00650 -0.0136
13 3108 5083.79 w 0.497 0.04769 -0.00661 -0.0209
13 3109 5083.81 w 0.704 0.08550 0.00290 -0.0227
13 3110 5083.83 w 0.486 0.05346 -0.00393 -0.0199
13 3111 5083.85 w 0.344 0.03675 -0.00331 -0.0143
13 3112 5083.86 w 0.309 0.02993 -0.00065 -0.0096
13 3113 5083.88 w 0.256 0.02524 -0.00093 -0.0085
13 3114 5083.90 w 0.243 0.01949 -0.00137 -0.0072
13 3115 5083.91 w 0.249 0.02468 0.00118 -0.0062
13 3116 5083.93 w 0.036 0.00363 -0.00455 -0.0056
14 0008 5072.82 w 0.041 0.00310 -0.01081 -0.0117
14 0009 5072.84 w 0.482 0.04550 -0.00587 -0.0195
14 0010 5072.86 w 0.835 0.11272 -0.00482 -0.0385
14 0011 5072.88 w 0.828 0.12976 -0.00335 -0.0421
14 0012 5072.90 w 0.721 0.08995 -0.00636 -0.0332
14 0013 5072.92 w 0.346 0.03207 -0.00683 -0.0164
14 0014 5072.94 w 0.290 0.02882 -0.00133 -0.0100
14 0015 5072.96 w 0.028 0.00228 -0.00728 -0.0080
14 0164 5075.80 w 0.132 0.00926 -0.00349 -0.0063
14 0165 5075.82 w 0.591 0.05933 0.00547 -0.0123
14 0166 5075.84 w 0.508 0.05364 -0.00193 -0.0180
14 0167 5075.86 w 0.433 0.03264 -0.00725 -0.0170
14 0168 5075.87 w 0.288 0.02420 -0.00324 -0.0105
14 0169 5075.89 w 0.094 0.01011 -0.00490 -0.0079
14 0186 5076.22 w 0.088 0.00619 -0.00701 -0.0089
14 0187 5076.24 w 0.239 0.02183 -0.00655 -0.0131
14 0188 5076.25 w 0.366 0.03422 -0.00380 -0.0140
14 0189 5076.27 w 0.485 0.03688 -0.00186 -0.0129
14 0190 5076.29 w 0.128 0.00901 -0.00441 -0.0071
14 0193 5076.35 w -0.016 -0.00120 -0.00621 -0.0058
14 0194 5076.37 w 0.259 0.01748 -0.00409 -0.0093
14 0195 5076.39 w 0.268 0.02162 0.00002 -0.0064
14 0196 5076.41 w 0.415 0.03566 -0.00015 -0.0108
14 0197 5076.43 w 0.592 0.06220 -0.00215 -0.0207
14 0198 5076.44 w 0.821 0.09442 -0.00550 -0.0337
14 0199 5076.46 w 0.833 0.11712 -0.00381 -0.0388
14 0200 5076.48 w 0.686 0.07509 -0.00432 -0.0268
14 0201 5076.50 w 0.419 0.03366 -0.00438 -0.0144
14 0202 5076.52 w 0.203 0.01284 -0.00402 -0.0079
14 0248 5077.40 w -0.004 -0.00030 -0.00943 -0.0093
14 0249 5077.41 w 0.551 0.04428 -0.00165 -0.0149
14 0250 5077.43 w 0.706 0.05744 -0.00328 -0.0205
14 0251 5077.45 w 0.565 0.04589 -0.00466 -0.0184
14 0252 5077.47 w 0.179 0.01536 -0.00773 -0.0123
14 0337 5079.08 w 0.012 0.00107 -0.01251 -0.0128
14 0338 5079.10 w 0.305 0.02640 -0.01355 -0.0214
14 0339 5079.12 w 0.713 0.06934 -0.01234 -0.0331
14 0340 5079.14 w 0.711 0.08584 -0.01198 -0.0376
14 0341 5079.16 w 0.459 0.04158 -0.01396 -0.0264
14 0342 5079.18 w 0.143 0.01013 -0.01228 -0.0153
14 0359 5079.50 w -0.072 -0.00500 -0.01046 -0.0090
14 0360 5079.52 w 0.360 0.03169 -0.00039 -0.0099
14 0361 5079.54 w 0.355 0.02760 -0.00676 -0.0150
14 0362 5079.56 w 0.494 0.04324 -0.00378 -0.0167
14 0363 5079.58 w 0.264 0.02177 -0.00863 -0.0151
14 0364 5079.60 w 0.261 0.01822 -0.00606 -0.0115
14 0365 5079.61 w 0.206 0.01968 -0.00692 -0.0128
14 0584 5083.75 w 0.188 0.01366 -0.00641 -0.0105
14 0585 5083.77 w 0.521 0.03937 -0.00045 -0.0122
14 0586 5083.79 w 0.671 0.05602 -0.00092 -0.0177
14 0587 5083.81 w 0.798 0.08476 0.00203 -0.0233
14 0588 5083.83 w 0.698 0.05918 -0.00129 -0.0190
14 0589 5083.85 w 0.510 0.03670 -0.00198 -0.0130
14 0590 5083.87 w 0.330 0.02333 -0.00002 -0.0070
14 0591 5083.89 w 0.231 0.01284 -0.00244 -0.0063
14 0621 5084.45 w 0.202 0.01100 -0.00038 -0.0037
14 0622 5084.47 w 0.266 0.01928 -0.00018 -0.0059
14 0623 5084.49 w 0.337 0.02320 -0.00209 -0.0090
14 0624 5084.51 w 0.386 0.03021 -0.00510 -0.0141
14 0625 5084.53 w 0.243 0.01742 -0.00458 -0.0098
14 0626 5084.55 w 0.186 0.01279 -0.00262 -0.0064
